cls,precision,recall,baseline,average_precision
N,0.935721358763508,0.9868773554919856,0.8902138324103642,0.9817703090206553
N,0.9359681240577213,0.9866276165826636,0.8902138324103642,0.9817703090206553
N,0.9362797914062837,0.9864459882849748,0.8902138324103642,0.9817703090206553
N,0.9364839808546419,0.9861508423012305,0.8902138324103642,0.9817703090206553
N,0.93677466672419,0.9859465104663306,0.8902138324103642,0.9817703090206553
N,0.9369577416152286,0.9856286609453753,0.8902138324103642,0.9817703090206553
N,0.9372057870870223,0.9853789220360533,0.8902138324103642,0.9817703090206553
N,0.9373460657650261,0.9850156654406756,0.8902138324103642,0.9817703090206553
N,0.9376378020837837,0.9848113336057758,0.8902138324103642,0.9817703090206553
N,0.9378217050910507,0.9844934840848204,0.8902138324103642,0.9817703090206553
N,0.938113991431168,0.9842891522499205,0.8902138324103642,0.9817703090206553
N,0.938255033557047,0.983925895654543,0.8902138324103642,0.9817703090206553
N,0.9385045271411862,0.9836761567452209,0.8902138324103642,0.9817703090206553
N,0.9386459191192406,0.9833129001498433,0.8902138324103642,0.9817703090206553
N,0.9388741922893448,0.9830404577033102,0.8902138324103642,0.9817703090206553
N,0.9390593135766043,0.9827226081823548,0.8902138324103642,0.9817703090206553
N,0.9391795094421532,0.9823366480497662,0.8902138324103642,0.9817703090206553
N,0.9392781131911566,0.9819279843799664,0.8902138324103642,0.9817703090206553
N,0.9394854634739906,0.9816328383962222,0.8902138324103642,0.9817703090206553
N,0.939606069829123,0.9812468782636334,0.8902138324103642,0.9817703090206553
N,0.9398573106538478,0.9809971393543114,0.8902138324103642,0.9817703090206553
N,0.9400435255712731,0.9806792898333561,0.8902138324103642,0.9817703090206553
N,0.9401428384792928,0.9802706261635563,0.8902138324103642,0.9817703090206553
N,0.9403293974118775,0.9799527766426009,0.8902138324103642,0.9817703090206553
N,0.9404507607131959,0.9795668165100122,0.8902138324103642,0.9817703090206553
N,0.9405940594059405,0.9792035599146347,0.8902138324103642,0.9817703090206553
N,0.9407156884137028,0.9788175997820461,0.8902138324103642,0.9817703090206553
N,0.9408592760773697,0.9784543431866685,0.8902138324103642,0.9817703090206553
N,0.9410030142850903,0.978091086591291,0.8902138324103642,0.9817703090206553
N,0.9411687573757594,0.9777505335331245,0.8902138324103642,0.9817703090206553
N,0.941312808851183,0.9773872769377469,0.8902138324103642,0.9817703090206553
N,0.9414351345438635,0.9770013168051582,0.8902138324103642,0.9817703090206553
N,0.9415357002145077,0.9765926531353585,0.8902138324103642,0.9817703090206553
N,0.9415925715036573,0.9761385823911365,0.8902138324103642,0.9817703090206553
N,0.9416495026074763,0.9756845116469146,0.8902138324103642,0.9817703090206553
N,0.9418599552768887,0.9753893656631704,0.8902138324103642,0.9817703090206553
N,0.9420048256196535,0.9750261090677927,0.8902138324103642,0.9817703090206553
N,0.9421498485713031,0.9746628524724152,0.8902138324103642,0.9817703090206553
N,0.9422071933599754,0.9742087817281933,0.8902138324103642,0.9817703090206553
N,0.9423085372819544,0.9738001180583935,0.8902138324103642,0.9817703090206553
N,0.942366026289181,0.9733460473141715,0.8902138324103642,0.9817703090206553
N,0.9424235759841654,0.9728919765699496,0.8902138324103642,0.9817703090206553
N,0.942481186463055,0.9724379058257276,0.8902138324103642,0.9817703090206553
N,0.9425828893487738,0.9720292421559279,0.8902138324103642,0.9817703090206553
N,0.9426406449623331,0.9715751714117059,0.8902138324103642,0.9817703090206553
N,0.942742539780491,0.9711665077419062,0.8902138324103642,0.9817703090206553
N,0.9427783902976846,0.9706897334604732,0.8902138324103642,0.9817703090206553
N,0.9428584035652826,0.9702583662534623,0.8902138324103642,0.9817703090206553
N,0.9430047238532515,0.9698951096580847,0.8902138324103642,0.9817703090206553
N,0.9431291134767437,0.969509149525496,0.8902138324103642,0.9817703090206553
N,0.9431210500729217,0.9689869681696408,0.8902138324103642,0.9817703090206553
N,0.9431571965509618,0.9685101938882078,0.8902138324103642,0.9817703090206553
N,0.9432155023669424,0.9680561231439858,0.8902138324103642,0.9817703090206553
N,0.9433402682484175,0.9676701630113972,0.8902138324103642,0.9817703090206553
N,0.9434430222773373,0.9672614993415974,0.8902138324103642,0.9817703090206553
N,0.9434351043559179,0.9667393179857422,0.8902138324103642,0.9817703090206553
N,0.9435380181777876,0.9663306543159424,0.8902138324103642,0.9817703090206553
N,0.9435301423945349,0.9658084729600872,0.8902138324103642,0.9817703090206553
N,0.9436775997514536,0.9654452163647096,0.8902138324103642,0.9817703090206553
N,0.9436697899551489,0.9649230350088543,0.8902138324103642,0.9817703090206553
N,0.9437286177633625,0.9644689642646325,0.8902138324103642,0.9817703090206553
N,0.943809735496777,0.9640375970576216,0.8902138324103642,0.9817703090206553
N,0.9438019837210336,0.9635154157017664,0.8902138324103642,0.9817703090206553
N,0.9438832272707045,0.9630840484947555,0.8902138324103642,0.9817703090206553
N,0.9439422948483904,0.9626299777505335,0.8902138324103642,0.9817703090206553
N,0.9439568761972646,0.9621304999318894,0.8902138324103642,0.9817703090206553
N,0.94401604635614,0.9616764291876675,0.8902138324103642,0.9817703090206553
N,0.9440083842483165,0.9611542478318122,0.8902138324103642,0.9817703090206553
N,0.9440676453527286,0.9607001770875903,0.8902138324103642,0.9817703090206553
N,0.9441046475289075,0.9602234028061571,0.8902138324103642,0.9817703090206553
N,0.944141689373297,0.9597466285247241,0.8902138324103642,0.9817703090206553
N,0.9442458100558659,0.9593379648549244,0.8902138324103642,0.9817703090206553
N,0.9443053257613021,0.9588838941107024,0.8902138324103642,0.9817703090206553
N,0.9443872757371035,0.9584525269036916,0.8902138324103642,0.9817703090206553
N,0.9444245489950311,0.9579757526222585,0.8902138324103642,0.9817703090206553
N,0.9444618623191652,0.9574989783408255,0.8902138324103642,0.9817703090206553
N,0.9445664351333184,0.9570903146710258,0.8902138324103642,0.9817703090206553
N,0.944648701968345,0.9566589474640149,0.8902138324103642,0.9817703090206553
N,0.9446637656453277,0.9561594696453708,0.8902138324103642,0.9817703090206553
N,0.9446564028906145,0.9556372882895156,0.8902138324103642,0.9817703090206553
N,0.9447613059684735,0.9552286246197158,0.8902138324103642,0.9817703090206553
N,0.9447989215906538,0.9547518503382827,0.8902138324103642,0.9817703090206553
N,0.9448140988176056,0.9542523725196386,0.8902138324103642,0.9817703090206553
N,0.9448292924294903,0.9537528947009944,0.8902138324103642,0.9817703090206553
N,0.9448219991898825,0.9532307133451392,0.8902138324103642,0.9817703090206553
N,0.9448597289143063,0.9527539390637061,0.8902138324103642,0.9817703090206553
N,0.9448974994368101,0.9522771647822731,0.8902138324103642,0.9817703090206553
N,0.9449127710408871,0.951777686963629,0.8902138324103642,0.9817703090206553
N,0.9449506111587208,0.9513009126821959,0.8902138324103642,0.9817703090206553
N,0.9449884922604811,0.9508241384007629,0.8902138324103642,0.9817703090206553
N,0.9450264144127872,0.9503473641193297,0.8902138324103642,0.9817703090206553
N,0.9450192003614186,0.9498251827634745,0.8902138324103642,0.9817703090206553
N,0.9450571803100846,0.9493484084820415,0.8902138324103642,0.9817703090206553
N,0.9451630410203067,0.9489397448122417,0.8902138324103642,0.9817703090206553
N,0.945178514864926,0.9484402669935976,0.8902138324103642,0.9817703090206553
N,0.9452845565264635,0.9480316033237979,0.8902138324103642,0.9817703090206553
N,0.9453907134767837,0.9476229396539981,0.8902138324103642,0.9817703090206553
N,0.9454743235280787,0.9471915724469873,0.8902138324103642,0.9817703090206553
N,0.9455126751621241,0.9467147981655541,0.8902138324103642,0.9817703090206553
N,0.945528381505513,0.94621532034691,0.8902138324103642,0.9817703090206553
N,0.9455668043764471,0.945738546065477,0.8902138324103642,0.9817703090206553
N,0.9456734044969339,0.9453298823956773,0.8902138324103642,0.9817703090206553
N,0.9456665000227241,0.944807701039822,0.8902138324103642,0.9817703090206553
N,0.9456595880132782,0.9442855196839668,0.8902138324103642,0.9817703090206553
N,0.9456754174439237,0.9437860418653227,0.8902138324103642,0.9817703090206553
N,0.9456912641689807,0.9432865640466784,0.8902138324103642,0.9817703090206553
N,0.9457071282168071,0.9427870862280343,0.8902138324103642,0.9817703090206553
N,0.9457913685457777,0.9423557190210234,0.8902138324103642,0.9817703090206553
N,0.945875701062423,0.9419243518140126,0.8902138324103642,0.9817703090206553
N,0.94589169213924,0.9414248739953684,0.8902138324103642,0.9817703090206553
N,0.9459305244898891,0.9409480997139354,0.8902138324103642,0.9817703090206553
N,0.9459465631422699,0.9404486218952913,0.8902138324103642,0.9817703090206553
N,0.9460311657450989,0.9400172546882805,0.8902138324103642,0.9817703090206553
N,0.946092999862832,0.9395631839440585,0.8902138324103642,0.9817703090206553
N,0.9461320279976211,0.9390864096626255,0.8902138324103642,0.9817703090206553
N,0.9461939854442257,0.9386323389184035,0.8902138324103642,0.9817703090206553
N,0.9462789100068697,0.9382009717113926,0.8902138324103642,0.9817703090206553
N,0.9463181047518673,0.9377241974299596,0.8902138324103642,0.9817703090206553
N,0.9463344184127275,0.9372247196113155,0.8902138324103642,0.9817703090206553
N,0.9463048763704757,0.9366798347182491,0.8902138324103642,0.9817703090206553
N,0.9462753017854684,0.9361349498251827,0.8902138324103642,0.9817703090206553
N,0.9462456946039035,0.9355900649321164,0.8902138324103642,0.9817703090206553
N,0.9463309286403528,0.9351586977251056,0.8902138324103642,0.9817703090206553
N,0.9463243069284171,0.9346365163692504,0.8902138324103642,0.9817703090206553
N,0.9463406780440683,0.9341370385506061,0.8902138324103642,0.9817703090206553
N,0.9463800800846872,0.9336602642691731,0.8902138324103642,0.9817703090206553
N,0.946373474556758,0.9331380829133179,0.8902138324103642,0.9817703090206553
N,0.9464359765930977,0.9326840121690959,0.8902138324103642,0.9817703090206553
N,0.9464063436448297,0.9321391272760297,0.8902138324103642,0.9817703090206553
N,0.9464228054799576,0.9316396494573854,0.8902138324103642,0.9817703090206553
N,0.9464162089814003,0.9311174681015302,0.8902138324103642,0.9817703090206553
N,0.9463865158162087,0.9305725832084639,0.8902138324103642,0.9817703090206553
N,0.9463798918819017,0.9300504018526087,0.8902138324103642,0.9817703090206553
N,0.9463732605982155,0.9295282204967534,0.8902138324103642,0.9817703090206553
N,0.9463434941486655,0.9289833356036871,0.8902138324103642,0.9817703090206553
N,0.946383116582589,0.928506561322254,0.8902138324103642,0.9817703090206553
N,0.9464227830516323,0.928029787040821,0.8902138324103642,0.9817703090206553
N,0.9464624936292453,0.927553012759388,0.8902138324103642,0.9817703090206553
N,0.946432710583654,0.9270081278663216,0.8902138324103642,0.9817703090206553
N,0.9464724708938262,0.9265313535848885,0.8902138324103642,0.9817703090206553
N,0.9465122754907875,0.9260545793034555,0.8902138324103642,0.9817703090206553
N,0.9465753424657535,0.9256005085592335,0.8902138324103642,0.9817703090206553
N,0.946592017841379,0.9251010307405894,0.8902138324103642,0.9817703090206553
N,0.9466319557435731,0.9246242564591564,0.8902138324103642,0.9817703090206553
N,0.9466719382296851,0.9241474821777232,0.8902138324103642,0.9817703090206553
N,0.9467119653744125,0.9236707078962902,0.8902138324103642,0.9817703090206553
N,0.9467753201396973,0.9232166371520683,0.8902138324103642,0.9817703090206553
N,0.9468387457484975,0.9227625664078464,0.8902138324103642,0.9817703090206553
N,0.9469022423197053,0.9223084956636244,0.8902138324103642,0.9817703090206553
N,0.9469191660058771,0.9218090178449803,0.8902138324103642,0.9817703090206553
N,0.9469361086479675,0.9213095400263361,0.8902138324103642,0.9817703090206553
N,0.9469764183983189,0.920832765744903,0.8902138324103642,0.9817703090206553
N,0.9469934121384853,0.9203332879262589,0.8902138324103642,0.9817703090206553
N,0.9470337992613717,0.9198565136448259,0.8902138324103642,0.9817703090206553
N,0.9470040694139108,0.9193116287517595,0.8902138324103642,0.9817703090206553
N,0.9470445078859924,0.9188348544703264,0.8902138324103642,0.9817703090206553
N,0.9470147506438773,0.9182899695772602,0.8902138324103642,0.9817703090206553
N,0.9470552405941058,0.9178131952958271,0.8902138324103642,0.9817703090206553
N,0.947119216164268,0.9173591245516052,0.8902138324103642,0.9817703090206553
N,0.9471363572400207,0.9168596467329609,0.8902138324103642,0.9817703090206553
N,0.9472004505561552,0.9164055759887391,0.8902138324103642,0.9817703090206553
N,0.9471941770368631,0.9158833946328838,0.8902138324103642,0.9817703090206553
N,0.947211389371799,0.9153839168142397,0.8902138324103642,0.9817703090206553
N,0.9472051149452306,0.9148617354583845,0.8902138324103642,0.9817703090206553
N,0.9472458723364222,0.9143849611769513,0.8902138324103642,0.9817703090206553
N,0.9472396102979244,0.9138627798210961,0.8902138324103642,0.9817703090206553
N,0.9473510713444785,0.9134541161512963,0.8902138324103642,0.9817703090206553
N,0.9473919803986242,0.9129773418698633,0.8902138324103642,0.9817703090206553
N,0.9474093630663335,0.9124778640512192,0.8902138324103642,0.9817703090206553
N,0.9474975234680881,0.9120464968442084,0.8902138324103642,0.9817703090206553
N,0.9475857837353094,0.9116151296371975,0.8902138324103642,0.9817703090206553
N,0.947603305785124,0.9111156518185534,0.8902138324103642,0.9817703090206553
N,0.9475735954259793,0.910570766925487,0.8902138324103642,0.9817703090206553
N,0.9476620490756938,0.9101393997184761,0.8902138324103642,0.9817703090206553
N,0.9477269501868584,0.9096853289742541,0.8902138324103642,0.9817703090206553
N,0.9478155914232972,0.9092539617672434,0.8902138324103642,0.9817703090206553
N,0.9478332938669193,0.9087544839485991,0.8902138324103642,0.9817703090206553
N,0.9478510164431597,0.908255006129955,0.8902138324103642,0.9817703090206553
N,0.94789246598075,0.907778231848522,0.8902138324103642,0.9817703090206553
N,0.9479339627117036,0.9073014575670889,0.8902138324103642,0.9817703090206553
N,0.9479280391133051,0.9067792762112337,0.8902138324103642,0.9817703090206553
N,0.9479696034196153,0.9063025019298007,0.8902138324103642,0.9817703090206553
N,0.9479636933897257,0.9057803205739454,0.8902138324103642,0.9817703090206553
