cls,fpr,tpr,auc
N,0.04896907216494845,0.5827543931344503,0.879125540329139
N,0.04915316642120766,0.5835490169368388,0.879125540329139
N,0.049521354933726065,0.5836852381601053,0.879125540329139
N,0.04970544918998527,0.5841620124415384,0.879125540329139
N,0.05025773195876289,0.5843890478136494,0.879125540329139
N,0.05044182621502209,0.5849112291695046,0.879125540329139
N,0.0508100147275405,0.5856377423602598,0.879125540329139
N,0.050994108983799705,0.5857512600463152,0.879125540329139
N,0.05136229749631811,0.5857966671207374,0.879125540329139
N,0.05173048600883652,0.5865458838487037,0.879125540329139
N,0.052098674521354936,0.5870680652045589,0.879125540329139
N,0.05228276877761414,0.5872723970394588,0.879125540329139
N,0.05265095729013255,0.5874086182627253,0.879125540329139
N,0.05283505154639175,0.5885210915860691,0.879125540329139
N,0.05320324005891016,0.5895654542977796,0.879125540329139
N,0.05357142857142857,0.5900195250420015,0.879125540329139
N,0.053939617083946984,0.5901103391908459,0.879125540329139
N,0.05412371134020619,0.5904735957862235,0.879125540329139
N,0.054491899852724596,0.5908368523816011,0.879125540329139
N,0.0546759941089838,0.5926985424329111,0.879125540329139
N,0.05504418262150221,0.5930390954910775,0.879125540329139
N,0.05522827687776141,0.5937883122190437,0.879125540329139
N,0.05559646539027982,0.5941969758888435,0.879125540329139
N,0.05578055964653903,0.5949688961540208,0.879125540329139
N,0.05614874815905744,0.5951051173772873,0.879125540329139
N,0.05651693667157585,0.5955818916587204,0.879125540329139
N,0.05706921944035346,0.5957862234936203,0.879125540329139
N,0.057253313696612664,0.5978749489170413,0.879125540329139
N,0.05762150220913108,0.5978976524542524,0.879125540329139
N,0.05780559646539028,0.5984425373473187,0.879125540329139
N,0.05817378497790869,0.5989420151659629,0.879125540329139
N,0.058357879234167895,0.5997593425055624,0.879125540329139
N,0.0587260677466863,0.5999409708032512,0.879125540329139
N,0.05891016200294551,0.6004404486218953,0.879125540329139
N,0.059278350515463915,0.6004631521591064,0.879125540329139
N,0.05946244477172312,0.6008718158289061,0.879125540329139
N,0.059830633284241534,0.6013258865731281,0.879125540329139
N,0.06001472754050074,0.6019161785406166,0.879125540329139
N,0.060382916053019146,0.6027789129546384,0.879125540329139
N,0.06056701030927835,0.6035281296826045,0.879125540329139
N,0.06093519882179676,0.603868682740771,0.879125540329139
N,0.06111929307805596,0.6051173772873814,0.879125540329139
N,0.06148748159057437,0.6055260409571811,0.879125540329139
N,0.06167157584683358,0.6057530763292921,0.879125540329139
N,0.06203976435935199,0.6063887753712028,0.879125540329139
N,0.062223858615611194,0.6081823548108796,0.879125540329139
N,0.0625920471281296,0.6082731689597239,0.879125540329139
N,0.0627761413843888,0.6087726467783681,0.879125540329139
N,0.06314432989690721,0.6093856422830677,0.879125540329139
N,0.06332842415316642,0.6101802660854562,0.879125540329139
N,0.06388070692194403,0.6102256731598783,0.879125540329139
N,0.06406480117820323,0.6105208191436226,0.879125540329139
N,0.06443298969072164,0.6107251509785224,0.879125540329139
N,0.06461708394698086,0.6118376243018663,0.879125540329139
N,0.06516936671575847,0.6127457657903101,0.879125540329139
N,0.06535346097201768,0.6131090223856877,0.879125540329139
N,0.06572164948453608,0.6132225400717431,0.879125540329139
N,0.06590574374079529,0.6139263497252871,0.879125540329139
N,0.0662739322533137,0.61481178767652,0.879125540329139
N,0.0664580265095729,0.6172410661581075,0.879125540329139
N,0.06701030927835051,0.6174453979930073,0.879125540329139
N,0.06719440353460972,0.6179902828860736,0.879125540329139
N,0.06774668630338733,0.6182627253326068,0.879125540329139
N,0.06793078055964653,0.6185578713163511,0.879125540329139
N,0.06829896907216494,0.6187167960768287,0.879125540329139
N,0.06848306332842416,0.6193751986559506,0.879125540329139
N,0.06885125184094257,0.6208055215002497,0.879125540329139
N,0.06903534609720177,0.6219406983608046,0.879125540329139
N,0.06940353460972018,0.6221223266584934,0.879125540329139
N,0.06958762886597938,0.6235753530400037,0.879125540329139
N,0.06995581737849779,0.623893202560959,0.879125540329139
N,0.070139911634757,0.6244380874540253,0.879125540329139
N,0.0705081001472754,0.6253235254052582,0.879125540329139
N,0.07087628865979381,0.6255051537029469,0.879125540329139
N,0.07124447717231222,0.6257775961494801,0.879125540329139
N,0.07161266568483063,0.6261181492076465,0.879125540329139
