optimiser,evaluations,mean,q25,q75
Gradient descent,2500,0.017271818158527217,0.016488370951265097,0.0182271059602499
Gradient descent,2750,0.016730211209505796,0.016100565437227488,0.01773703470826149
Gradient descent,3000,0.016297083999961614,0.01548351300880313,0.01711181690916419
Gradient descent,3250,0.015892692810545363,0.015127995982766151,0.016705673187971115
Gradient descent,3500,0.015516999208678802,0.014717611018568277,0.01617923378944397
Gradient descent,3750,0.015229906793683768,0.014528941130265594,0.015704164747148752
Gradient descent,4000,0.01492666124055783,0.014189868699759245,0.015503353206440806
Gradient descent,4250,0.014622130772719781,0.014012283645570278,0.01511934888549149
Gradient descent,4500,0.014353834309925635,0.013784651877358556,0.014786492334678769
Gradient descent,4750,0.014183786263068517,0.013671524589881301,0.014495539013296366
Gradient descent,5000,0.013982273793468872,0.01357381627894938,0.014208611799404025
Gradient descent,5250,0.013858377188444137,0.013518074061721563,0.014046475291252136
Gradient descent,5500,0.01373851311703523,0.01347255427390337,0.013947729486972094
Gradient descent,5750,0.013632767150799434,0.013384053949266672,0.013926287181675434
Gradient descent,6000,0.013544950323800245,0.013298921985551715,0.013729837257415056
Gradient descent,6250,0.013472143809000652,0.013176246080547571,0.013683092780411243
Gradient descent,6500,0.013384632548938196,0.013169916812330484,0.013617124175652862
Gradient descent,6750,0.01334751263881723,0.01315692556090653,0.013559934450313449
Gradient descent,7000,0.013306256942451,0.013149262871593237,0.013490780722349882
Gradient descent,7250,0.013249116049458583,0.013053363654762506,0.01343973889015615
Gradient descent,7500,0.013190064920733373,0.013020653277635574,0.013377000112086535
Gradient descent,7750,0.013136725407093763,0.012993878684937954,0.013321687700226903
Gradient descent,8000,0.01310915822784106,0.012987913098186255,0.013221750501543283
Gradient descent,8250,0.013080395137270292,0.012969932984560728,0.013209492899477482
Gradient descent,8500,0.013038607717802127,0.012955805286765099,0.013178746215999126
Gradient descent,8750,0.012995852995663882,0.012955805286765099,0.013044403865933418
Gradient descent,9000,0.01297820284962654,0.01293682842515409,0.01303886086679995
Gradient descent,9250,0.012967803825934729,0.012920822482556105,0.01303886086679995
Gradient descent,9500,0.012951093136022489,0.012904168106615543,0.013031525770202279
Gradient descent,9750,0.01294710182895263,0.012900621863082051,0.013031525770202279
Gradient descent,10000,0.012929012347012759,0.012850905302911997,0.013031525770202279
Gradient descent,10250,0.012928041629493237,0.012850905302911997,0.013031525770202279
Gradient descent,10500,0.012914333709826071,0.012813650537282228,0.013031525770202279
Gradient descent,10750,0.012913129571825267,0.012813650537282228,0.0130296868737787
Gradient descent,11000,0.01290810617307822,0.012813650537282228,0.013024951564148068
Gradient descent,11250,0.012899833483000596,0.012781652621924877,0.013024951564148068
Gradient descent,11500,0.012896747980266809,0.012781652621924877,0.013024951564148068
Gradient descent,11750,0.012896747980266809,0.012781652621924877,0.013024951564148068
Gradient descent,12000,0.01288427949572603,0.012771797366440296,0.013021758059039712
Gradient descent,12250,0.01288427949572603,0.012771797366440296,0.013021758059039712
Gradient descent,12500,0.012872914442171653,0.012771797366440296,0.013015387114137411
Gradient descent,12750,0.012865605702002843,0.012771797366440296,0.01300725364126265
Gradient descent,13000,0.01285531207298239,0.012755498988553882,0.012995607452467084
Gradient descent,13250,0.012851592184354861,0.012755498988553882,0.012993457494303584
Gradient descent,13500,0.012849300416807334,0.012755498988553882,0.012985576875507832
Gradient descent,13750,0.012845306408902009,0.012755498988553882,0.012985542649403214
Gradient descent,14000,0.012841503974050284,0.012755498988553882,0.012982233660295606
Gradient descent,14250,0.012836800701916218,0.012755498988553882,0.012974393088370562
Gradient descent,14500,0.012831714718292158,0.012755498988553882,0.012961972039192915
Gradient descent,14750,0.012831714718292158,0.012755498988553882,0.012961972039192915
Gradient descent,15000,0.012829923660804828,0.012755498988553882,0.012961972039192915
Random search,0,5.326678530375163,3.729976177215576,6.479215025901794
Random search,250,4.193114264806112,3.317701995372772,4.8973493576049805
